State,Population,Violent_crime,Murder_manslaughter,Rape_revdef,Rape_legdef,Robbery,Aggravated_assault,Property_crime,Burglary,Larceny_theft,Car_theft
Wisconsin,"5,771,337","17,647",240,"1,780","1,224","5,232","10,395","113,924","19,554","83,385","10,985"
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Wyoming,"586,107","1,302",16,173,125,59,"1,054","11,151","1,762","8,797",592
